Nombre,Cantidad,Componente
"R1",1,"1.8 kΩ Resistencia"
"R2",1,"2.2 kΩ Resistencia"
"R3",1,"1.5 kΩ Resistencia"
"R4",1,"470 Ω Resistencia"
"R5",1,"3.9 kΩ Resistencia"
"P1",1,"12 , 5  Suministro de energía"
"P2",1,"8 , 5  Suministro de energía"
"Meter2",1,"Voltaje Multímetro"
